index,full_name,short_name,description,output_type
255,ee.Image.arraySort,arraySort,Sorts elements of each array pixel along one axis.,Image
256,ee.Image.arrayTranspose,arrayTranspose,Transposes two dimensions of each array pixel.,Image
257,ee.Image.bandNames,bandNames,Returns a list containing the names of the bands of an image.,List
258,ee.Image.bandTypes,bandTypes,Returns a dictionary of the image's band types.,Dictionary
259,ee.Image.bitsToArrayImage,bitsToArrayImage,Turns the bits of an integer into a 1-D array.  The array has a lengthup to the highest 'on' bit in the input.,Image
260,ee.Image.blend,blend,"Overlays one image on top of another. The images are blended together using the masks as opacity. If either of images has only 1 band, it is replicated to match the number of bands in the other image.",Image
261,ee.Image.changeProj,changeProj,"Tweaks the projection of the input image, moving each pixel from its location in srcProj to the same coordinates in dstProj.",Image
262,ee.Image.clip,clip,Clips an image to a Geometry or Feature.,Image
263,ee.Image.clipToBoundsAndScale,clipToBoundsAndScale,"Clips an image to the bounds of a Geometry, and scales the clipped image to a particular size or scale.",Image
264,ee.Image.clipToCollection,clipToCollection,"Clips an image to a FeatureCollection. The output bands correspond exactly the input bands, except data not covered by the geometry of at least one feature from the collection is masked. The output image retains the metadata of the input image.",Image
265,ee.Image.connectedComponents,connectedComponents,"Finds connected components with the same value of the first band of the input and labels them with a globally unique value.  Connectedness is specified by the given kernel.  Objects larger than maxSize are considered background, and are masked.",Image
266,ee.Image.connectedPixelCount,connectedPixelCount,Generate an image where each pixel contains the number of 4- or 8-connected neighbors (including itself).,Image
267,ee.Image.constant,constant,Generates an image containing a constant value everywhere.,Image
268,ee.Image.convolve,convolve,Convolves each band of an image with the given kernel.,Image
269,ee.Image.cumulativeCost,cumulativeCost,Computes a cumulative cost map based on an image containing costs to traverse each pixel and an image containing source locations.,Image
270,ee.Image.date,date,Returns the acquisition time of an image as a Date object. This helper function is equivalent to .,Date
271,ee.Image.derivative,derivative,"Computes the X and Y discrete derivatives for each band in the input image, in pixel coordinates.",Image
272,ee.Image.directionalDistanceTransform,directionalDistanceTransform,"For each zero-valued pixel in the source, get the distance to the nearest non-zero pixels in the given direction.",Image
273,ee.Image.displace,displace,Warps an image using an image of displacements.,Image
274,ee.Image.displacement,displacement,"Determines displacements required to register an image to a reference image while allowing local, rubber sheet deformations. Displacements are computed in the CRS of the reference image, at a scale dictated by the lowest resolution of the following three projections: input image projection, reference image projection, and requested projection. The displacements are then transformed into the user-specified projection for output.",Image
275,ee.Image.entropy,entropy,"Computes the windowed entropy for each band using the specified kernel centered on each input pixel. Entropy is computed as -sum(p * log2(p)), where p is the normalized probability of occurrence of the values encountered in each window.",Image
276,ee.Image.erfc,erfc,Computes the complementary error function of the input.,Image
277,ee.Image.erfcInv,erfcInv,Computes the inverse complementary error function of the input.,Image
278,ee.Image.fastDistanceTransform,fastDistanceTransform,"Returns the distance, as determined by the specified distance metric, to the nearest non-zero valued pixel in the input.  The output contains values for all pixels within the given neighborhood size, regardless of the input's mask.  Note: the default distance metric returns squared distance.",Image
279,ee.Image.firstNonZero,firstNonZero,"Selects the first value if it is non-zero, and the second value otherwise for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
280,ee.Image.focalMax,focalMax,Applies a morphological reducer() filter to each band of an image using a named or custom kernel.,Image
281,ee.Image.focalMean,focalMean,Applies a morphological mean filter to each band of an image using a named or custom kernel.,Image
282,ee.Image.focalMedian,focalMedian,Applies a morphological reducer() filter to each band of an image using a named or custom kernel.,Image
283,ee.Image.focalMin,focalMin,Applies a morphological reducer() filter to each band of an image using a named or custom kernel.,Image
284,ee.Image.focalMode,focalMode,Applies a morphological reducer() filter to each band of an image using a named or custom kernel.,Image
285,ee.Image.getThumbURL,getThumbURL,Get a thumbnail URL for this image.,Object|String
286,ee.Image.glcmTexture,glcmTexture,"Computes texture metrics from the Gray Level Co-occurrence Matrix around each pixel of every band.  The GLCM is a tabulation of how often different combinations of pixel brightness values (grey levels) occur in an image.  It counts the number of times a pixel of value X lies next to a pixel of value Y, in a particular direction and distance. and then derives statistics from this tabulation.",Image
287,ee.Image.gradient,gradient,Calculates the x and y gradient.,Image
288,ee.Image.hersFeature,hersFeature,Computes the Histogram Error Ring Statistic (HERS) for each pixel in each band matching the keys in the descriptor. Only the bands for which HERS could be computed are returned.,Image
289,ee.Image.hersImage,hersImage,Computes the Histogram Error Ring Statistic (HERS) for each pair of pixels in each band present in both images. Only the bands for which HERS could be computed are returned.,Image
290,ee.Image.hsvToRgb,hsvToRgb,"Transforms the image from the HSV color space to the RGB color space.  Expects a 3 band image in the range [0, 1], and produces three bands: red, green and blue with values in the range [0, 1].",Image
291,ee.Image.interpolate,interpolate,"Interpolates each point in the first band of the input image into the piecewise-linear function specified by the x and y arrays.  The x values must be strictly increasing.  If an input point is less than the first or greater than the last x value, then the output is specified by the ""behavior"" argument: ""extrapolate"" specifies the output value is extrapolated from the two nearest points, ""clamp"" specifies the output value is taken from the nearest point, ""input""  specifies the output value is copied from the input and ""mask"" specifies the output value is masked.",Image
292,ee.Image.linkCollection,linkCollection,Links the source image to a matching image from an image collection.,Image
293,ee.Image.load,ee.Image.load,Returns the image given its ID.,Image
294,ee.Image.loadGeoTIFF,ee.Image.loadGeoTIFF,Loads a GeoTIFF as an Image.,Image
295,ee.Image.matrixIdentity,matrixIdentity,Creates an image where each pixel is a 2D identity matrix of the given size.,Image
296,ee.Image.matrixTrace,matrixTrace,Computes the trace of the matrix.,Image
297,ee.Image.medialAxis,medialAxis,Computes the discrete medial axis of the zero valued pixels of the first band of the input.  Outputs 4 bands:,Image
298,ee.Image.metadata,metadata,Generates a constant image of type double from a metadata property.,Image
299,ee.Image.neighborhoodToArray,neighborhoodToArray,"Turns the neighborhood of each pixel in a scalar image into a 2D array. Axes 0 and 1 of the output array correspond to Y and X axes of the image, respectively. The output image will have as many bands as the input; each output band has the same mask as the corresponding input band. The footprint and metadata of the input image are preserved.",Image
300,ee.Image.neighborhoodToBands,neighborhoodToBands,"Turn the neighborhood of a pixel into a set of bands. The neighborhood is specified using a Kernel, and only non-zero-weight kernel values are used. The weights of the kernel is otherwise ignored.",Image
301,ee.Image.normalizedDifference,normalizedDifference,"Computes the normalized difference between two bands. If the bands to use are not specified, uses the first two bands. The normalized difference is computed as (first �?second) / (first + second). Note that the returned image band name is 'nd', the input image properties are not retained in the output image, and a negative pixel value in either input band will cause the output pixel to be masked. To avoid masking negative input values, use  to compute normalized difference.",Image
302,ee.Image.paint,paint,"Paints the geometries of a collection onto an image, using the given 'color' value to replace each band's values where any geometry covers the image (or, if a line width is specified, where the perimeters do).",Image
303,ee.Image.pixelCoordinates,pixelCoordinates,Creates a two band image containing the x and y coordinates of each pixel in the given projection.,Image
304,ee.Image.polynomial,polynomial,Compute a polynomial at each pixel using the given coefficients.,Image
305,ee.Image.random,random,"Generates a random number at each pixel location.  When using the 'uniform' distribution, outputs are in the range of [0 to 1).  Using the 'normal' distribution, the outputs have μ=0, 𝛔=1, but no explicit limits.",Image
306,ee.Image.randomVisualizer,randomVisualizer,"Creates a visualization image by assigning a random color to each unique value of the pixels of the first band. The first three bands of the output image will contain 8-bit R, G and B values, followed by all bands of the input image.",Image
307,ee.Image.reduceConnectedComponents,reduceConnectedComponents,Applies a reducer to all of the pixels inside of each 'object'. Pixels are considered to belong to an object if they are connected (8-way) and have the same value in the 'label' band.  The label band is only used to identify the connectedness; the rest are provided as inputs to the reducer.,Image
308,ee.Image.reduceNeighborhood,reduceNeighborhood,"Applies the given reducer to the neighborhood around each pixel, as determined by the given kernel. If the reducer has a single input, it will be applied separately to each band of the collection; otherwise it must have the same number of inputs as the input image has bands.",Image
309,ee.Image.reduceRegion,reduceRegion,Apply a reducer to all the pixels in a specific region.,Dictionary
310,ee.Image.reduceRegions,reduceRegions,Apply a reducer over the area of each feature in the given collection.,FeatureCollection
311,ee.Image.reduceResolution,reduceResolution,"Enables reprojection using the given reducer to combine all input pixels corresponding to each output pixel. If the reducer has a single input, it will be applied separately to each band of the collection; otherwise it must have the same number of inputs as the input image has bands.",Image
312,ee.Image.reduceToVectors,reduceToVectors,"Convert an image to a feature collection by reducing homogeneous regions. Given an image containing a band of labeled segments and zero or more additional bands, runs a reducer over the pixels in each segment producing a feature per segment.",FeatureCollection
313,ee.Image.regexpRename,regexpRename,Renames the bands of an image by applying a regular expression replacement to the current band names.  Any bands not matched by the regex will be copied over without renaming.,Image
314,ee.Image.register,register,"Registers an image to a reference image while allowing local, rubber sheet deformations. Displacements are computed in the CRS of the reference image, at a scale dictated by the lowest resolution of the following three projections: input image projection, reference image projection, and requested projection. The displacements then applied to the input image to register it with the reference.",Image
315,ee.Image.reproject,reproject,Force an image to be computed in a given projection and resolution.,Image
316,ee.Image.resample,resample,"An algorithm that returns an image identical to its argument, but which uses bilinear or bicubic interpolation (rather than the default nearest-neighbor) to compute pixels in projections other than its native projection or other levels of the same image pyramid.",Image
317,ee.Image.rgb,rgb,Create a 3-band image specifically for visualization. This uses the first band in each image.,Image
318,ee.Image.rgbToHsv,rgbToHsv,"Transforms the image from the RGB color space to the HSV color space.  Expects a 3 band image in the range [0, 1], and produces three bands: hue, saturation and value with values in the range [0, 1].",Image
319,ee.Image.rsedTransform,rsedTransform,"Computes the 2D maximal height surface created by placing an inverted parabola over each non-zero pixel of the input image, where the pixel's value is the height of the parabola.  Viewed as a binary image (zero/not-zero) this is equivalent to buffering each non-zero input pixel by the square root of its value, in pixels.",Image
320,ee.Image.sample,sample,"Samples the pixels of an image, returning them as a FeatureCollection. Each feature will have 1 property per band in the input image. Note that the default behavior is to drop features that intersect masked pixels, which result in null-valued properties (see dropNulls argument).",FeatureCollection
321,ee.Image.sampleRectangle,sampleRectangle,"Extracts a rectangular region of pixels from an image into a ND array per band. The arrays are returned in a feature retaining the same properties as the image and a geometry the same as that used to sample the image (or the image footprint if unspecified). Each band is sampled in its input projection, and if no geometry is specified, sampled using its footprint. For scalar bands, the output array is 2D. For array bands the output array is (2+N)D where N is the number of dimensions in the original band. If sampling array bands, all arrays must have the same number of elements. If a band's sampled region is entirely masked and a default array value is specified, the default array value is used in-lieu of sampling the image.",Feature
322,ee.Image.sampleRegions,sampleRegions,"Converts each pixel of an image (at a given scale) that intersects one or more regions to a Feature, returning them as a FeatureCollection.  Each output feature will have one property per band of the input image, as well as any specified properties copied from the input feature.",FeatureCollection
323,ee.Image.selfMask,selfMask,Updates an image's mask at all positions where the existing mask is not zero using the value of the image as the new mask value. The output image retains the metadata and footprint of the input image.,Image
324,ee.Image.setDefaultProjection,setDefaultProjection,Set a default projection to be applied to this image. The projection's resolution may be overridden by later operations.,Image
325,ee.Image.sldStyle,sldStyle,Styles a raster input with the provided OGC SLD styling.,Image
326,ee.Image.spectralDilation,spectralDilation,Computes the spectral/spatial dilation of an image by computing the spectral distance of each pixel under a structuring kernel from the centroid of all pixels under the kernel and taking the most distant result. See 'Spatial/spectral endmember extraction by multidimensional morphological operations.' IEEE transactions on geoscience and remote sensing 40.9 (2002): 2025-2041.,Image
327,ee.Image.spectralDistance,spectralDistance,Computes the per-pixel spectral distance between two images.  If the images are array based then only the first band of each image is used; otherwise all bands are involved in the distance computation.  The two images are therefore expected  to contain the same number of bands or have the same 1-dimensional array length.,Image
328,ee.Image.spectralErosion,spectralErosion,Computes the spectral/spatial erosion of an image by computing the spectral distance of each pixel under a structuring kernel from the centroid of all pixels under the kernel and taking the closest result.  See 'Spatial/spectral endmember extraction by multidimensional morphological operations.' IEEE transactions on geoscience and remote sensing 40.9 (2002): 2025-2041.,Image
329,ee.Image.spectralGradient,spectralGradient,"Computes the spectral gradient over all bands of an image (or the first band if the image is Array typed) by computing the per-pixel difference between the spectral erosion and dilation with a given structuring kernel and distance metric. See: Plaza, Antonio, et al. 'Spatial/spectral endmember extraction by multidimensional morphological operations.' IEEE transactions on geoscience and remote sensing 40.9 (2002): 2025-2041.",Image
330,ee.Image.stratifiedSample,stratifiedSample,"Extracts a stratified random sample of points from an image.  Extracts the specified number of samples for each distinct value discovered within the 'classBand'.  Returns a FeatureCollection of 1 Feature per extracted point, with each feature having 1 property per band in the input image.  If there are less than the specified number of samples available for a given class value, then all of the points for that class will be included.  Requires that the classBand contain integer values.",FeatureCollection
331,ee.Image.unmask,unmask,"Replaces mask and value of the input image with the mask and value of another image at all positions where the input mask is zero. The output image retains the metadata of the input image. By default, the output image also retains the footprint of the input, but setting sameFootprint to false allows to extend the footprint.",Image
332,ee.Image.unmix,unmix,"Unmix each pixel with the given endmembers, by computing the pseudo-inverse and multiplying it through each pixel.  Returns an image of doubles with the same number of bands as endmembers.",Image
333,ee.Image.updateMask,updateMask,Updates an image's mask at all positions where the existing mask is not zero. The output image retains the metadata and footprint of the input image.,Image
334,ee.Image.visualize,visualize,"Produces an RGB or grayscale visualization of an image.  Each of the gain, bias, min, max and gamma arguments can take either a single value, which will be applied to all bands, or a list of values the same length as bands.",Image
335,ee.Image.where,where,Performs conditional replacement of values.,Image
336,ee.Image.zeroCrossing,zeroCrossing,Finds zero-crossings on each band of an image.,Image
337,ee.ImageCollection,ee.ImageCollection,ImageCollections can be constructed from the following arguments:,ImageCollection
338,ee.ImageCollection.count,count,Reduces an image collection by calculating the number of images with a valid mask at each pixel across the stack of all matching bands. Bands are matched by name.,Image
339,ee.ImageCollection.formaTrend,formaTrend,"Computes the long and short term trends of a time series or optionally, the trends of the ratio of the time series and a covariate.  The long term trend is estimated from the linear term of a regression on the full time series.  The short term trend is computed as the windowed minimum over the time series.",Image
340,ee.ImageCollection.fromImages,fromImages,Returns the image collection containing the given images.,ImageCollection
341,ee.ImageCollection.getFilmstripThumbURL,getFilmstripThumbURL,Get the URL of a tiled thumbnail for this ImageCollection.,Object|String
342,ee.ImageCollection.getRegion,getRegion,"Output an array of values for each [pixel, band, image] tuple in an ImageCollection.  The output contains rows of id, lon, lat, time, and all bands for each image that intersects each pixel in the given region. Attempting to extract more than 1048576 values will result in an error.",List
343,ee.ImageCollection.getVideoThumbURL,getVideoThumbURL,Get the URL of an animated thumbnail for this ImageCollection.,Object|String
344,ee.ImageCollection.load,ee.ImageCollection.load,Returns the image collection given its ID.,ImageCollection
345,ee.ImageCollection.mean,mean,Reduces an image collection by calculating the mean of all values at each pixel across the stack of all matching bands. Bands are matched by name.,Image
346,ee.ImageCollection.median,median,Reduces an image collection by calculating the median of all values at each pixel across the stack of all matching bands. Bands are matched by name.,Image
347,ee.ImageCollection.mode,mode,Reduces an image collection by calculating the most common value at each pixel across the stack of all matching bands. Bands are matched by name.,Image
348,ee.ImageCollection.mosaic,mosaic,"Composites all the images in a collection, using the mask.",Image
349,ee.ImageCollection.product,product,Reduces an image collection by calculating the product of all values at each pixel across the stack of all matching bands. Bands are matched by name.,Image
350,ee.ImageCollection.qualityMosaic,qualityMosaic,"Composites all the images in a collection, using a quality band as a per-pixel ordering function.",Image
351,ee.ImageCollection.sum,sum,Reduces an image collection by calculating the sum of all values at each pixel across the stack of all matching bands. Bands are matched by name.,Image
352,ee.ImageCollection.toArrayPerBand,toArrayPerBand,Concatenates multiple images into a single array image. The result will be masked if any input is masked.,Image
353,ee.ImageCollection.toBands,toBands,Converts a collection to a single multi-band image containing all of the bands of every image in the collection.  Output bands are named by prefixing the existing band names with the image id from which it came (e.g.: 'image1_band1'). Note: The maximum number of bands is 5000,Image
354,ee.initialize,initialize,"Initialize the library.  If this hasn't been called by the time any object constructor is used, it will be called then.  If this is called a second time with a different baseurl or tileurl, this doesn't do an un-initialization of e.g.: the previously loaded Algorithms, but will overwrite them and let point at alternate servers.",EMPTY
355,ee.Join.apply,ee.Join.apply,Joins two collections.,FeatureCollection
356,ee.Join.inner,ee.Join.inner,"Returns a join that pairs elements from the primary collection with matching elements from the secondary collection. Each result has a 'primary' property that contains the element from the primary collection, and a 'secondary' property containing the matching element from the secondary collection. If measureKey is specified, the join measure is also attached to the object as a property.",Join
357,ee.Join.saveAll,ee.Join.saveAll,"Returns a join that pairs each element from the first collection with a group of matching elements from the second collection. The list of matches is added to each result as an additional property. If measureKey is specified, each match has the value of its join measure attached. Join measures are produced when withinDistance or maxDifference filters are used as the join condition.",Join
358,ee.Join.saveBest,ee.Join.saveBest,Returns a join that pairs each element from the first collection with a matching element from the second collection. The match with the best join measure is added to each result as an additional property. Join measures are produced when withinDistance or maxDifference filters are used as the join condition.,Join
359,ee.Join.saveFirst,ee.Join.saveFirst,Returns a join that pairs each element from the first collection with a matching element from the second collection. The first match is added to the result as an additional property.,Join
360,ee.Kernel.chebyshev,ee.Kernel.chebyshev,Generates a distance kernel based on Chebyshev distance (greatest distance along any dimension).,Kernel
361,ee.Kernel.circle,ee.Kernel.circle,Generates a circle-shaped boolean kernel.,Kernel
362,ee.Kernel.compass,ee.Kernel.compass,Generates a 3x3 Prewitt's Compass edge-detection kernel.,Kernel
363,ee.Kernel.cross,ee.Kernel.cross,Generates a cross-shaped boolean kernel.,Kernel
364,ee.Kernel.diamond,ee.Kernel.diamond,Generates a diamond-shaped boolean kernel.,Kernel
365,ee.Kernel.euclidean,ee.Kernel.euclidean,Generates a distance kernel based on Euclidean (straight-line) distance.,Kernel
366,ee.Kernel.fixed,ee.Kernel.fixed,Creates a Kernel.,Kernel
367,ee.Kernel.gaussian,ee.Kernel.gaussian,Generates a Gaussian kernel from a sampled continuous Gaussian.,Kernel
368,ee.Kernel.inverse,ee.Kernel.inverse,Returns a kernel which has each of its weights multiplicatively inverted. Weights with a value of zero are not inverted and remain zero.,Kernel
369,ee.Kernel.kirsch,ee.Kernel.kirsch,Generates a 3x3 Kirsch's Compass edge-detection kernel.,Kernel
370,ee.Kernel.laplacian4,ee.Kernel.laplacian4,Generates a 3x3 Laplacian-4 edge-detection kernel.,Kernel
371,ee.Kernel.laplacian8,ee.Kernel.laplacian8,Generates a 3x3 Laplacian-8 edge-detection kernel.,Kernel
372,ee.Kernel.manhattan,ee.Kernel.manhattan,Generates a distance kernel based on rectilinear (city-block) distance.,Kernel
373,ee.Kernel.octagon,ee.Kernel.octagon,Generates an octagon-shaped boolean kernel.,Kernel
374,ee.Kernel.plus,ee.Kernel.plus,Generates a plus-shaped boolean kernel.,Kernel
375,ee.Kernel.prewitt,ee.Kernel.prewitt,Generates a 3x3 Prewitt edge-detection kernel.,Kernel
376,ee.Kernel.rectangle,ee.Kernel.rectangle,Generates a rectangular-shaped kernel.,Kernel
377,ee.Kernel.roberts,ee.Kernel.roberts,Generates a 2x2 Roberts edge-detection kernel.,Kernel
378,ee.Kernel.rotate,ee.Kernel.rotate,Creates a Kernel.,Kernel
379,ee.Kernel.sobel,ee.Kernel.sobel,Generates a 3x3 Sobel edge-detection kernel.,Kernel
380,ee.Kernel.square,ee.Kernel.square,Generates a square-shaped boolean kernel.,Kernel
381,ee.List,ee.List,Constructs a new list.,List
382,ee.List.containsAll,containsAll,"Returns true if list contains all of the elements of other, regardless of order.",Boolean
383,ee.List.frequency,frequency,Returns the number of elements in list equal to element.,Integer
384,ee.List.indexOf,indexOf,"Returns the position of the first occurrence of target in list, or -1 if list does not contain target.",Integer
385,ee.List.indexOfSublist,indexOfSublist,"Returns the starting position of the first occurrence of target within list, or -1 if there is no such occurrence.",Integer
386,ee.List.insert,insert,Inserts element at the specified position in list. A negative index counts backwards from the end of the list.,List
387,ee.List.join,join,Returns a string containing the elements of the list joined together with the specified separator between elements.,String
388,ee.List.lastIndexOfSubList,lastIndexOfSubList,"Returns the starting position of the last occurrence of target within list, or -1 if there is no such occurrence.",Integer
389,ee.List.removeAll,removeAll,Removes from list all of the elements that are contained in other list.,List
390,ee.List.repeat,ee.List.repeat,Returns a new list containing value repeated count times.,List
391,ee.List.replaceAll,replaceAll,Replaces all occurrences of oldVal in list with newVal.,List
392,ee.List.reverse,reverse,Reverses the order of the elements in list.,List
393,ee.List.rotate,rotate,Rotates the elements of the list by the specified distance.,List
394,ee.List.sequence,sequence,"Generate a sequence of numbers from start to end (inclusive) in increments of step, or in count equally-spaced increments.  If end is not specified it is computed from start + step * count, so at least one of end or count must be specified.",List
395,ee.List.shuffle,shuffle,"Randomly permute the specified list.  Note that the permutation order will always be the same for any given seed, unless the value for seed is 'false'.",List
396,ee.List.splice,splice,"Starting at the start index, removes count elements from list and insert the contents of other at that location.  If start is negative, it counts backwards from the end of the list.",List
397,ee.List.swap,swap,Swaps the elements at the specified positions.  A negative position counts backwards from the end of the list.,List
398,ee.List.unzip,unzip,"Transposes a list of lists, extracting the first element of each inner list into one list the second elements into another, etc., up to the length of the shortest inner list. The remaining items are discarded. The result is a list of lists.",List
399,ee.List.zip,zip,"Pairs the elements of two lists to create a list of two-element lists.  When the input lists are of different sizes, the final list has the same size as the shortest one.",List
400,ee.Model.fromAiPlatformPredictor,fromAiPlatformPredictor,Returns an ee.Model from a description of an AI Platform prediction model. (See https://cloud.google.com/ml-engine/).,Model
401,ee.Model.fromVertexAi,fromVertexAi,Returns an ee.Model from a description of a Vertex AI model endpoint. (See https://cloud.google.com/vertex-ai).,Model
402,ee.Model.predictImage,predictImage,Make predictions from pixel tiles of an image. The predictions are merged as bands with the input image.,Image
403,ee.Model.predictProperties,predictProperties,Make predictions for each feature in a collection. Predicted properties are merged with the properties of the input feature.,FeatureCollection
404,ee.Number,ee.Number,Constructs a new Number.,Number
405,ee.Number.erfc,erfc,Computes the complementary error function of the input.,Number
406,ee.Number.erfcInv,erfcInv,Computes the inverse complementary error function of the input.,Number
407,ee.Number.firstNonZero,firstNonZero,"Selects the first value if it is non-zero, and the second value otherwise.",Number
408,ee.Number.parse,ee.Number.parse,Convert a string to a number.,Number
409,ee.PixelType,PixelType,"Returns a PixelType of the given precision with the given limits per element, and an optional dimensionality.",PixelType
410,ee.PixelType.dimensions,dimensions,Returns the number of dimensions for this type. Will be 0 for scalar values and >= 1 for array values.,Integer
411,ee.PixelType.maxValue,maxValue,Returns the maximum value of the PixelType.,Number
412,ee.PixelType.minValue,minValue,Returns the minimum value of the PixelType.,Number
413,ee.PixelType.precision,precision,"Returns the precision of the PixelType.  One of 'int', 'float', or 'double'.",String
414,ee.Projection,ee.Projection,"Returns a Projection with the given base coordinate system and the given transform between projected coordinates and the base. If no transform is specified, the identity transform is assumed.",Projection
415,ee.Projection.atScale,atScale,"Returns the projection scaled such that its units have the given scale in linear meters, as measured at the point of true scale.",Projection
416,ee.Projection.crs,crs,"Returns the authority code (e.g. 'EPSG:4326') for the base coordinate system of this projection, or null if the base coordinate system is not found in any available database.",String
417,ee.Projection.nominalScale,nominalScale,"Returns the linear scale in meters of the units of this projection, as measured at the point of true scale.",Float
418,ee.Projection.scale,scale,Returns the projection scaled by the given amount in each axis.,Projection
419,ee.Projection.wkt,wkt,Returns a WKT representation of the base coordinate system of this Projection.,String
420,ee.Reducer.autoHistogram,ee.Reducer.autoHistogram,"Create a reducer that will compute a histogram of the inputs.  The output is a Nx2 array of the lower bucket bounds and the counts (or cumulative counts) of each bucket, and is suitable for use per-pixel.",Reducer
421,ee.Reducer.combine,ee.Reducer.combine,"Creates a Reducer that runs two reducers in parallel.  The combined reducer's outputs will be those of reducer1 followed by those of reducer2, where the output names of reducer2 are prefixed with the given string.",Reducer
422,ee.Reducer.disaggregate,ee.Reducer.disaggregate,"Separates aggregate inputs (Arrays, Lists or Dictionaries) into individual items that are then each passed to the specified reducer.  When used on dictionaries, the dictionary keys are ignored.  Non-aggregated inputs (ie: numbers or strings) are passed to the underlying reducer directly.",Reducer
423,ee.Reducer.fixed2DHistogram,ee.Reducer.fixed2DHistogram,"Creates a reducer that will compute a 2D histogram of the inputs using a fixed number of fixed width bins. Values outside of the [min, max) range on either axis are ignored. The output is a 2D array of counts, and 2 1-D arrays of bucket lower edges for the xAxis and the yXais. This reducer is suitable for use per-pixel, however it is always unweighted.  The maximum count for any bucket is 2^31 - 1.",Reducer
424,ee.Reducer.fixedHistogram,ee.Reducer.fixedHistogram,"Creates a reducer that will compute a histogram of the inputs using a fixed number of fixed width bins. Values outside of the [min, max) range are ignored.  The output is a Nx2 array of bucket lower edges and counts (or cumulative counts) and is suitable for use per-pixel.",Reducer
425,ee.Reducer.forEach,ee.Reducer.forEach,"Creates a Reducer by combining a copy of the given reducer for each output name in the given list.  If the reducer has a single output, the output names are used as-is; otherwise they are prefixed to the original output names.",Reducer
426,ee.Reducer.forEachBand,ee.Reducer.forEachBand,"Creates a Reducer by combining a copy of the given reducer for each band in the given image, using the band names as output names.",Reducer
427,ee.Reducer.forEachElement,ee.Reducer.forEachElement,"Separately reduces each position in array inputs of equal shape, producing an array output of the same shape.",Reducer
428,ee.Reducer.geometricMedian,ee.Reducer.geometricMedian,Creates a reducer that computes the geometric median across a set of inputs.,Reducer
429,ee.Reducer.getOutputs,ee.Reducer.getOutputs,Returns a list of the output names of the given reducer.,List
430,ee.Reducer.group,ee.Reducer.group,"Groups reducer records by the value of a given input, and reduces each group with the given reducer.",Reducer
431,ee.Reducer.histogram,ee.Reducer.histogram,Create a reducer that will compute a histogram of the inputs.,Reducer
432,ee.Reducer.intervalMean,ee.Reducer.intervalMean,Creates a Reducer to compute the mean of all inputs in the specified percentile range.  For small numbers of inputs (up to maxRaw) the mean will be computed directly; for larger numbers of inputs the mean will be derived from a histogram.,Reducer
433,ee.Reducer.kendallsCorrelation,ee.Reducer.kendallsCorrelation,Creates a reducer that computes the Kendall's Tau-b rank correlation.  A positive tau value indicates an increasing trend; negative value indicates a decreasing trend. See https://commons.apache.org/proper/commons-math/javadocs/api-3.6/org/apache/commons/math3/stat/correlation/KendallsCorrelation.html for details.,Reducer
434,ee.Reducer.linearRegression,ee.Reducer.linearRegression,Creates a reducer that computes a linear least squares regression with numX independent variables and numY dependent variables.,Reducer
435,ee.Reducer.max,ee.Reducer.max,"Creates a reducer that outputs the maximum value of its (first) input.  If numInputs is greater than one, also outputs the corresponding values of the additional inputs.",Reducer
436,ee.Reducer.median,ee.Reducer.median,Create a reducer that will compute the median of the inputs.  For small numbers of inputs (up to maxRaw) the median will be computed directly; for larger numbers of inputs the median will be derived from a histogram.,Reducer
437,ee.Reducer.min,ee.Reducer.min,"Creates a reducer that outputs the minimum value of its (first) input.  If numInputs is greater than one, also outputs the corresponding values of the additional inputs.",Reducer
438,ee.Reducer.mode,ee.Reducer.mode,Create a reducer that will compute the mode of the inputs.  For small numbers of inputs (up to maxRaw) the mode will be computed directly; for larger numbers of inputs the mode will be derived from a histogram.,Reducer
439,ee.Reducer.percentile,ee.Reducer.percentile,"Create a reducer that will compute the specified percentiles, e.g. given [0, 50, 100] will produce outputs named 'p0', 'p50', and 'p100' with the min, median, and max respectively.  For small numbers of inputs (up to maxRaw) the percentiles will be computed directly; for larger numbers of inputs the percentiles will be derived from a histogram.",Reducer
440,ee.Reducer.repeat,ee.Reducer.repeat,"Creates a Reducer by combining the specified number of copies of the given reducer.  Output names are the same as the given reducer, but each is a list of the corresponding output from each of the reducers.",Reducer
441,ee.Reducer.ridgeRegression,ee.Reducer.ridgeRegression,Creates a reducer that computes a ridge regression with numX independent variables (not including constant) followed by numY dependent variables.  Ridge regression is a form of Tikhonov regularization which shrinks the regression coefficients by imposing a penalty on their size. With this implementation of ridge regression there NO NEED to include a constant value for bias.,Reducer
442,ee.Reducer.robustLinearRegression,ee.Reducer.robustLinearRegression,"Creates a reducer that computes a robust least squares regression with numX independent variables and numY dependent variables, using iteratively reweighted least squares with the Talwar cost function. A point is considered an outlier if the RMS of residuals is greater than beta.",Reducer
443,ee.Reducer.setOutputs,ee.Reducer.setOutputs,"Returns a Reducer with the same inputs as the given Reducer, but with outputs renamed and/or removed.",Reducer
